both,1.909,2.014,1.557,1.469,1.801
(0.771_4.009),bovis_autogenous,1.077,0.866,0.807,0.964
(0.674_4.785),(0.534_1.958),bovoculi_autogenous,0.878,0.819,0.977
(0.629_3.275),(0.403_1.591),(0.334_1.848),bovis_licenced,1.019,1.229
(0.608_3.082),(0.412_1.441),(0.342_1.7),(0.444_2.108),bovoculi_C_licenced,1.29
(0.769_3.642),(0.708_1.273),(0.516_1.67),(0.639_2.204),(0.707_2.147),Placebo
