both,0.559,0.578,0.356,0.296,0.512
(-0.26_1.389),bovis_autogenous,0.019,-0.203,-0.263,-0.047
(-0.394_1.565),(-0.628_0.672),bovoculi_autogenous,-0.223,-0.283,-0.067
(-0.463_1.186),(-0.909_0.464),(-1.097_0.614),bovis_licenced,-0.06,0.156
(-0.497_1.126),(-0.886_0.365),(-1.074_0.531),(-0.813_0.746),bovoculi_C_licenced,0.216
(-0.263_1.292),(-0.345_0.241),(-0.661_0.513),(-0.448_0.79),(-0.347_0.764),Placebo
